2024-02-24 20:22:55.247 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.microservice1.SprintBootDemoApplicationTests], using SpringBootContextLoader
2024-02-24 20:22:55.255 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.microservice1.SprintBootDemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-02-24 20:22:55.256 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.microservice1.SprintBootDemoApplicationTests]: SprintBootDemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-02-24 20:22:55.323 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.microservice1.SprintBootDemoApplication for test class com.example.microservice1.SprintBootDemoApplicationTests
2024-02-24 20:22:55.406 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2024-02-24 20:22:55.419 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1338fb5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@42463763, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@59f63e24, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@61f05988, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7ca33c24, org.springframework.test.context.support.DirtiesContextTestExecutionListener@fade1fc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@67c2e933, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@41dd05a, org.springframework.test.context.event.EventPublishingTestExecutionListener@613a8ee1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@178213b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7103cb56, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1b765a2c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2e8e8225, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6ebf0f36, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@18920cc]
2024-02-24 20:22:55.641 [main] INFO  com.example.microservice1.SprintBootDemoApplicationTests - Starting SprintBootDemoApplicationTests using Java 1.8.0_382 on Amit with PID 16524 (started by mailf in D:\workspace-spring-tool-suite\SprintBootDemo)
2024-02-24 20:22:55.644 [main] INFO  com.example.microservice1.SprintBootDemoApplicationTests - No active profile set, falling back to default profiles: default
2024-02-24 20:22:56.230 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-02-24 20:22:56.274 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32 ms. Found 2 JPA repository interfaces.
2024-02-24 20:22:56.532 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$2dd096e3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-02-24 20:22:56.556 [main] INFO  org.springframework.ws.soap.addressing.server.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2024-02-24 20:22:56.753 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-02-24 20:22:57.003 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-02-24 20:22:57.041 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-02-24 20:22:57.078 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.4.Final
2024-02-24 20:22:57.224 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2024-02-24 20:22:57.316 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2024-02-24 20:22:57.754 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-02-24 20:22:57.763 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-02-24 20:22:58.567 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-02-24 20:22:59.302 [main] INFO  com.example.microservice1.SprintBootDemoApplicationTests - Started SprintBootDemoApplicationTests in 3.855 seconds (JVM running for 4.744)
2024-02-24 20:22:59.472 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-02-24 20:22:59.477 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-02-24 20:22:59.481 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-02-24 20:28:29.938 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.microservice1.SprintBootDemoApplicationTests], using SpringBootContextLoader
2024-02-24 20:28:29.945 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.microservice1.SprintBootDemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-02-24 20:28:29.945 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.microservice1.SprintBootDemoApplicationTests]: SprintBootDemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-02-24 20:28:30.023 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.microservice1.SprintBootDemoApplication for test class com.example.microservice1.SprintBootDemoApplicationTests
2024-02-24 20:28:30.086 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
